RelativePath,Bytes,SHA256
00_START/C2_08_START_HERE_ASTRA_RC4.pdf,2972,f03273538badecd8c8967b2ed15378d6bc6678aee3280569362260c749abe532
01_TEACH/C2_08_QUICK_REVISION_ASTRA_RC4.pdf,3372,e45beccac39fb264d835f2ea2ff2c9ddfa6c6419dcf01a318134066cbeaae209
01_TEACH/C2_08_SENIOR_BUSINESS_ANALYSIS_COMMUNICATION_TEACHING_BOOK_ASTRA_RC4.pdf,106900,79714bcf75baa98010cc1dae0f33328e47400e502fd9c152184cdf019d9e448e
02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,20880,1d2b619dbb285909736e27b5d799204b2888ded768eba07de0b9d97362fff527
02_PRACTICE/C2_08_PRACTICE_DATA_RC1.zip,4489,8a167ec792ce47397190d5895a6972fb25878a00a5a1691ba423afc91808193e
03_MINI_LAB/C2_08_MINI_LAB_MANAGEMENT_REVIEW_SIMULATION_BRIEF_RC1.pdf,5119,a246dea6dbaf8f48a7c877b800c7b6d7c99639e25258193bc78ecd039f0bf191
03_MINI_LAB/C2_08_MINI_LAB_MANAGEMENT_REVIEW_SIMULATION_RC1.xlsx,9054,228df8cfe6f8c709a372fe44e3df5865327911115efb154f524b7d43ccede0a7
04_ASSESSMENT/C2_08_MODULE_TEST_ASTRA_RC4.pdf,3438,95a459068799c97aacbd4d5633b3ad4a6bd3803e19c606656ddc49f647c69627
04_ASSESSMENT/C2_08_MODULE_TEST_PROTECTED_REVIEW_ASTRA_RC4.pdf,3819,42cdeb8c8cd7dbbb376216512f266254f5f915554f779d37c7cf900de0ebc77d
04_ASSESSMENT/GATE_A/C2_08_GATE_A_DATA_RC1.zip,1498,df5a0979162c0ca747f3087d4ebee099cf48e40b209b2a1763ecb9a50e1b237c
04_ASSESSMENT/GATE_A/C2_08_GATE_A_FRESH_ASSESSMENT_RC1.xlsx,7572,ccd678d9fefeffe5330dc81c6ce4532dd6e98cfdbd505bcf93f5bc76adadf86d
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_08_GATE_B_DATA_RC1.zip,1469,a990a7164f6daba9a6fa55480a63e12fd0e0e8876cce059b44c71ada89410c87
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_08_GATE_B_FRESH_ASSESSMENT_RC1.xlsx,7540,e8fe0e586a5079bcbdb0bf12b3735dedd051d203eae00e66c446cfa9f63ded0a
