lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
SBA1,Running a stakeholder discovery conversation,6,9,P_SBA1,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
SBA2,Challenging a bad request professionally,10,13,P_SBA2,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
SBA3,Prioritizing analytical work,14,17,P_SBA3,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
SBA4,"Separating observation, inference and recommendation",18,21,P_SBA4,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
SBA5,Executive summaries,22,25,P_SBA5,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
SBA6,Presenting uncertainty,26,29,P_SBA6,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
SBA7,Recommendations tied to business decisions,30,33,P_SBA7,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
SBA8,Handling contradictory stakeholder requirements,34,37,P_SBA8,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
SBA9,Defending your analysis under questioning,38,41,P_SBA9,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
SBA10,"Working with engineers, finance, product and operations",42,45,P_SBA10,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
SBA11,"Code, review and documentation habits",46,49,P_SBA11,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
SBA12,Mentoring and reviewing junior analyst work,50,53,P_SBA12,02_PRACTICE/C2_08_CASE_AND_EVIDENCE_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_08_PRACTICE_REVIEW_PROTECTED_RC1.pdf,13
