lesson_id,role,source_name,url,useful_segment,verification_status,fallback_or_note
DAX1,REQUIRED VISUAL SUPPORT,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,19:24-25:11,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Evaluation context visual.
DAX1,CURRENT REFERENCE,Microsoft Learn - DAX overview,https://learn.microsoft.com/en-us/dax/dax-overview,Context,WEB_REACHABLE_2026-09-10,Authoritative context reference.
DAX2,REQUIRED VISUAL SUPPORT,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,13:39-25:11,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Measure vs column + context.
DAX2,CURRENT REFERENCE,Microsoft Learn - DAX overview,https://learn.microsoft.com/en-us/dax/dax-overview,Row/filter context,WEB_REACHABLE_2026-09-10,Authoritative reference.
DAX3,REQUIRED VISUAL SUPPORT,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,34:18-46:34,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,CALCULATE + multiple filters.
DAX3,CURRENT REFERENCE,Microsoft Learn - CALCULATE function,https://learn.microsoft.com/en-us/dax/calculate-function-dax,Filter modification,WEB_REACHABLE_2026-09-10,Includes context transition remarks.
DAX4,CURRENT REFERENCE,Microsoft Learn - SUMX,https://learn.microsoft.com/en-us/dax/sumx-function-dax,Iterator semantics,WEB_REACHABLE_2026-09-10,Book-led.
DAX5,RECOMMENDED CURRENT TRAINING,Microsoft Learn - Modify DAX filter context,https://learn.microsoft.com/en-us/training/modules/dax-power-bi-modify-filter/,Context transition unit,WEB_REACHABLE_2026-09-10,Current guided training.
DAX6,CURRENT REFERENCE,Microsoft Learn - Implement time-based calculations in Power BI,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-time-intelligence,Date-table/time intelligence,WEB_REACHABLE_2026-09-10,Current guidance.
DAX7,CURRENT REFERENCE,Microsoft Learn - DATEADD function,https://learn.microsoft.com/en-us/dax/dateadd-function-dax,Date shift behavior,WEB_REACHABLE_2026-09-10,Current DATEADD semantics.
DAX8,RECOMMENDED VISUAL SUPPORT,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,25:12-34:17,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Measure reuse/DIVIDE context.
DAX8,CURRENT REFERENCE,Microsoft Learn - Use variables to improve DAX formulas,https://learn.microsoft.com/en-us/dax/best-practices/dax-variables,VAR/RETURN,WEB_REACHABLE_2026-09-10,Readability/performance guidance.
DAX9,RECOMMENDED VISUAL SUPPORT,Chandoo - Learn 80% of DAX in an Hour,https://www.youtube.com/watch?v=lD7TvkoQ6rY,30:56-55:28,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,DIVIDE/CALCULATE/IF patterns.
DAX10,CURRENT REFERENCE,Microsoft Learn - PL-300 study guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300,DAX Query View/Performance Analyzer objectives,WEB_REACHABLE_2026-09-10,Debugging workflow is course-led.
DAX11,CURRENT ALIGNMENT,Microsoft Learn - PL-300 study guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300,Report design/storytelling objectives,WEB_REACHABLE_2026-09-10,Decision-first method is course-led.
DAX12,CURRENT REFERENCE,Microsoft Learn - Create report bookmarks,https://learn.microsoft.com/en-us/power-bi/create-reports/desktop-bookmarks,Bookmark state,WEB_REACHABLE_UPDATED_2026-01-27,Official current reference.
DAX12,CURRENT REFERENCE,Microsoft Learn - Visual tooltips,https://learn.microsoft.com/en-us/power-bi/create-reports/desktop-custom-tooltips,Tooltips/drill actions,WEB_REACHABLE_2026-09-10,Official current reference.
DAX12,CURRENT REFERENCE,Microsoft Learn - Drillthrough guidance,https://learn.microsoft.com/en-us/power-bi/guidance/report-drillthrough,Drillthrough/back/discovery,WEB_REACHABLE_2026-09-10,Official guidance.
DAX13,CURRENT REFERENCE,Microsoft Learn - Design Power BI reports for accessibility,https://learn.microsoft.com/en-us/power-bi/create-reports/desktop-accessibility-creating-reports,Alt text/keyboard/tooltips,WEB_REACHABLE_2026-09-10,Critical information must not depend only on tooltip.
DAX14,CURRENT REFERENCE,Microsoft Learn - Row-level security with Power BI,https://learn.microsoft.com/en-us/fabric/security/service-admin-row-level-security,Static/dynamic RLS,WEB_REACHABLE_2026-09-10,Includes USERPRINCIPALNAME and role validation.
DAX15,CURRENT REFERENCE,Microsoft Learn - Collaborate and share Power BI content,https://learn.microsoft.com/en-us/power-bi/collaborate-share/collaborate-share-overview,Workspace/share/app,WEB_REACHABLE_2026-09-10,Official overview.
DAX15,CURRENT REFERENCE,Microsoft Learn - Roles in Power BI workspaces,https://learn.microsoft.com/en-us/power-bi/collaborate-share/service-roles-new-workspaces,Admin/Member/Contributor/Viewer,WEB_REACHABLE_2026-09-10,Tenant/license conditions apply.
DAX15,CURRENT REFERENCE,Microsoft Learn - Configure scheduled refresh,https://learn.microsoft.com/en-us/power-bi/connect-data/refresh-scheduled-refresh,Refresh/gateway basics,WEB_REACHABLE_2026-09-10,Operational reference.
DAX15,CURRENT REFERENCE,Microsoft Learn - Publish from Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/create-reports/desktop-upload-desktop-files,Republish impact/refresh behavior,WEB_REACHABLE_2026-09-10,Impact analysis/change control.
