lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
DAX1,Evaluation context properly understood,6,9,DAX1_Context,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
DAX2,Row context vs filter context,10,13,DAX2_Row_vs_Filter,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
DAX3,CALCULATE deeply understood,14,17,DAX3_CALCULATE,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
DAX4,Iterator functions,18,21,DAX4_Iterators,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
DAX5,Context transition,22,25,DAX5_Context_Transition,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
DAX6,Time intelligence,26,29,DAX6_Time_Intelligence,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
DAX7,Period comparison and rolling metrics,30,33,DAX7_Rolling_Comparison,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
DAX8,Variables and readable DAX,34,37,DAX8_Variables,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
DAX9,Advanced business measures,38,41,DAX9_Business_Measures,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
DAX10,Debugging incorrect measures,42,45,DAX10_Debugging,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
DAX11,Report storytelling and executive design,46,49,DAX11_Storytelling,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,12
DAX12,"Drill-through, tooltips, bookmarks and interaction",50,53,DAX12_Interactions,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,13
DAX13,Accessibility and usability,54,57,DAX13_Accessibility,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,14
DAX14,Row-level security,58,61,DAX14_RLS,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,15
DAX15,"Workspaces, sharing and lifecycle basics",62,65,DAX15_Lifecycle,02_PRACTICE/C2_04_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_04_PRACTICE_REVIEW_PROTECTED_RC1.pdf,16
