lesson_id,role,source_name,url,useful_segment,verification_status,fallback_or_note
DWF1-DWF3,RECOMMENDED CURRENT TRAINING,Microsoft Learn - Get started with data warehouses in Fabric,https://learn.microsoft.com/en-us/training/modules/get-started-data-warehouse/,Warehouse concepts 7m; Fabric Warehouse 8m; modeling 7m,WEB_VERIFIED_2026-09-10,Current visual/training support; internal concepts authoritative.
DWF3-DWF4,BASELINE PRESERVED,Microsoft Learn - Dimensional modeling in Fabric Data Warehouse,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-overview,Star schema / warehouse dimensional design,WEB_VERIFIED_2026-09-10,Baseline current-reference row preserved.
DWF5-DWF6,CURRENT REFERENCE,Microsoft Learn - Dimension tables in Fabric Data Warehouse,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-dimension-tables,Keys/dimension history,WEB_VERIFIED_2026-09-10,Warehouse key/SCD reference.
DWF6,BASELINE PRESERVED,Microsoft Learn - Slowly changing dimension type 2,https://learn.microsoft.com/en-us/fabric/data-factory/slowly-changing-dimension-type-two,Type 2 implementation visual,WEB_VERIFIED_2026-09-10,Concept is vendor-neutral; implementation example only.
DWF6,BASELINE PRESERVED,Microsoft Learn - Slowly changing dimension type 1,https://learn.microsoft.com/en-us/fabric/data-factory/slowly-changing-dimension-type-one,Type 1 contrast,WEB_VERIFIED_2026-09-10,Preserved baseline row.
DWF7,RECOMMENDED CURRENT TRAINING,Microsoft Learn - Implement a data warehouse with Microsoft Fabric,https://learn.microsoft.com/en-us/training/paths/work-with-data-warehouses-using-microsoft-fabric/,Load/incremental/SCD pipeline context,WEB_VERIFIED_2026-09-10,Implementation context only.
DWF8,NEW REQUIRED VISUAL SUPPORT,Microsoft Learn - Medallion lakehouse architecture for Fabric with OneLake,https://learn.microsoft.com/en-us/fabric/onelake/onelake-medallion-lakehouse-architecture,Bronze/Silver/Gold and combined deployment,WEB_VERIFIED_2026-09-10,Current Fabric-recommended pattern; internal layer contracts remain authoritative.
DWF9,BASELINE PRESERVED,Microsoft Learn - What is a lakehouse in Microsoft Fabric?,https://learn.microsoft.com/en-us/fabric/data-engineering/lakehouse-overview,Warehouse vs lakehouse capabilities,WEB_VERIFIED_2026-09-10,Preserved baseline row.
DWF9,BASELINE PRESERVED,Microsoft Learn - Store data in Microsoft Fabric,https://learn.microsoft.com/en-us/fabric/fundamentals/store-data,Current store choice,WEB_VERIFIED_UPDATED_2026-03-31,Preserved baseline storage-decision row.
DWF9,CURRENT DECISION GUIDE,Microsoft Learn - Choose an analytical data store in Microsoft Fabric,https://learn.microsoft.com/en-us/azure/architecture/data-guide/technology-choices/fabric-analytical-data-stores,Store selection factors,WEB_VERIFIED_UPDATED_2026-06-26,Current architecture comparison.
DWF10,RECOMMENDED VIDEO,Harsha Guggilla - Batch vs Streaming Data Pipelines Explained,https://www.youtube.com/watch?v=fJEadN7_U6g,00:39 example; 07:12 batch; 20:31 streaming; 29:18 decision; 36:40 trade-offs,YOUTUBE_METADATA_VERIFIED_2026-09-10,Visual support; internal lesson sufficient.
DWF11,CURRENT REFERENCE,Microsoft Learn - Lineage in Fabric,https://learn.microsoft.com/en-us/fabric/governance/lineage,Workspace/item lineage,WEB_VERIFIED_2026-09-10,Automated lineage complements business metadata.
DWF12,RECOMMENDED CURRENT TRAINING,Microsoft Learn - Implement a data warehouse with Microsoft Fabric,https://learn.microsoft.com/en-us/training/paths/work-with-data-warehouses-using-microsoft-fabric/,Load/monitor/secure context,WEB_VERIFIED_2026-09-10,Internal quality-control framework is assessed authority.
