lesson_id,role,source_name,url,useful_segment,verification_status,fallback_or_note
PBM-A1,REQUIRED VISUAL SUPPORT,Chandoo - Learn Data Modelling & Star Schema for Power BI in 20 minutes,https://www.youtube.com/watch?v=4ePNrdxWtY0,00:00-02:17,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Semantic/data-model mental model.
PBM-A1,CURRENT REFERENCE,Microsoft Learn - Understand star schema and importance for Power BI,https://learn.microsoft.com/en-us/power-bi/guidance/star-schema,Semantic model + fact/dimension/grain,WEB_REACHABLE_2026-09-10,Authoritative current modeling guidance.
PBM-A2,REQUIRED VISUAL SUPPORT,Chandoo - Learn Data Modelling & Star Schema for Power BI in 20 minutes,https://www.youtube.com/watch?v=4ePNrdxWtY0,02:18-05:45,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Fact/dimension and relationship setup.
PBM-A2,CURRENT REFERENCE,Microsoft Learn - Star schema guidance,https://learn.microsoft.com/en-us/power-bi/guidance/star-schema,Fact/dimension role and keys,WEB_REACHABLE_2026-09-10,Official guidance.
PBM-A3,REQUIRED VISUAL SUPPORT,Chandoo - Learn Data Modelling & Star Schema for Power BI in 20 minutes,https://www.youtube.com/watch?v=4ePNrdxWtY0,02:18-09:39,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Star schema and model example.
PBM-A3,CURRENT REFERENCE,Microsoft Learn - Star schema guidance,https://learn.microsoft.com/en-us/power-bi/guidance/star-schema,Conformed dimensions/fact grain,WEB_REACHABLE_2026-09-10,Official guidance.
PBM-A4,REQUIRED VISUAL SUPPORT,Chandoo - Learn Data Modelling & Star Schema for Power BI in 20 minutes,https://www.youtube.com/watch?v=4ePNrdxWtY0,11:50-20:18,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,"Relationships, filter direction, evaluation context."
PBM-A4,CURRENT REFERENCE,Microsoft Learn - Model relationships in Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-relationships-understand,Cardinality/filter propagation,WEB_REACHABLE_2026-09-10,Official relationship behavior.
PBM-A5,CURRENT REFERENCE,Microsoft Learn - Many-to-many relationship guidance,https://learn.microsoft.com/en-us/power-bi/guidance/relationships-many-to-many,"Dimension M:M, fact M:M, higher-grain facts",WEB_REACHABLE_2026-09-10,Official guidance discourages casual fact-to-fact M:M.
PBM-A6,CURRENT REFERENCE,Microsoft Learn - Active vs inactive relationship guidance,https://learn.microsoft.com/en-us/power-bi/guidance/relationships-active-inactive,Role-playing dimensions/active paths,WEB_REACHABLE_2026-09-10,Official guidance generally prefers active relationships where possible.
PBM-A7,CURRENT REFERENCE,Microsoft Learn - Set and use date tables in Power BI Desktop,https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-date-tables,Date-table behavior,WEB_REACHABLE_2026-09-10,Official current date-table reference.
PBM-A8,REQUIRED VISUAL SUPPORT,Chandoo - Power Query Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU,04:54-13:36; 17:50-28:25; 33:35-35:17,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,"Editor, transformations, load/refresh."
PBM-A8,CURRENT REFERENCE,Microsoft Learn - Best Practices When Working with Power Query,https://learn.microsoft.com/en-us/power-query/best-practices,"Types, modules, documentation, parameters",WEB_REACHABLE_UPDATED_2026-08-20,Current best-practice page.
PBM-A8,CURRENT REFERENCE,Microsoft Learn - Understanding Query Evaluation and Query Folding,https://learn.microsoft.com/en-us/power-query/query-folding-basics,Connector-aware folding,WEB_REACHABLE_UPDATED_2026-08-20,Do not claim folding for file sources that cannot fold.
PBM-A9,CURRENT REFERENCE,Microsoft Learn - Relationship troubleshooting,https://learn.microsoft.com/en-us/power-bi/guidance/relationships-troubleshoot,Relationship/filter troubleshooting,WEB_REACHABLE_2026-09-10,Model QA remains course-led.
PBM-A10,CURRENT REFERENCE,Microsoft Learn - Optimize semantic model performance,https://learn.microsoft.com/en-us/training/modules/optimize-semantic-model-performance/,Performance Analyzer/cardinality/optimization,WEB_REACHABLE_2026-09-10,Measure first; model optimization evidence.
PBM-A10,CURRENT REFERENCE,Microsoft Learn - PL-300 study guide,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/pl-300,Optimize model performance objectives,WEB_REACHABLE_2026-09-10,Skills measured as of 2026-04-20.
