lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_sheet,practice_workbook,protected_review,review_page
PBM-A1,Semantic-model thinking,6,9,A1_Model_Contract,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
PBM-A2,Fact and dimension tables,10,13,A2_Fact_Dimension,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
PBM-A3,Star schema in professional BI,14,17,A3_Star_Schema,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
PBM-A4,Relationships and filter propagation,18,21,A4_Relationships,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
PBM-A5,Cardinality and many-to-many risks,22,25,A5_Many_to_Many,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
PBM-A6,Role-playing dimensions,26,29,A6_Role_Playing,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
PBM-A7,Date dimensions,30,33,A7_Date_Table,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
PBM-A8,Power Query architecture for BI models,34,37,A8_PQ_Architecture,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
PBM-A9,Model validation and reconciliation,38,41,A9_Model_QA,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
PBM-A10,Model performance fundamentals,42,45,A10_Performance,02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
