relative_path,bytes,sha256
00_START/C2_01_START_HERE_TEACHING_RC1.pdf,7454,7662ac669f46d5317d2b8b5bb7e35b3f2c16f7ef98fc55e959628ad6864e0c68
01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_RC1.pdf,129798,72e337eaeaa26ad8ae9e161adc1966919cdc5d411064743c0167d586d162508d
02_PRACTICE/C2_01_PRACTICE_DATA_RC1.zip,9714,a75528db04ef3ad698889f7c56c1174aa9dcd9a0beaeacfffcbb13f2818e85cb
02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,16743,c6271d4bbddc3702f30a885b70df6a31c745f31286f77f50bd7def7367559994
03_MINI_LAB/C2_01_MINI_LAB_MONTH_END_REFRESH_BRIEF_RC1.pdf,5428,c75b9b3d6ec6765f08eec012d28239bc9e0b21aef834565ccbe88f69a6722050
03_MINI_LAB/C2_01_MINI_LAB_MONTH_END_REFRESH_RC1.xlsx,8221,956e433e48de9130e778a098710c5ec58ebbb04fe37619124307a16f134d4314
04_ASSESSMENT/GATE_A/C2_01_GATE_A_DATA_RC1.zip,2756,d8711413b74ef77f5c4fa11eb6b9a3191f8cceb3af4cc062020bba84b9e5e135
04_ASSESSMENT/GATE_A/C2_01_GATE_A_FRESH_ASSESSMENT_RC1.xlsx,7878,08b3507a336425c1a3714bb1e429726e8a405d077967d640040bc5498c3048da
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_01_GATE_B_DATA_RC1.zip,2765,dd767290ce36d2adec1c7e4ae1908f2d5370a9d203bcbcd5c17f075c60f5379d
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_01_GATE_B_FRESH_ASSESSMENT_RC1.xlsx,7885,0bd42455ab1ddda620fe8d5e56e860e3524c5d47ef908f6c0bb56deb3544bd17
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_01_GATE_B_REVIEW_PROTECTED_RC1.pdf,5085,427d20f6f0c5ff86f7d411eec229e65eb3eab1ed1665624c96739eef823587ab
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_01_GATE_C_DATA_RC1.zip,2781,6a3bd361388a93fe9ba5aeb82e71e8116fbe0b64625455f187e7bf132dd4e64d
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_01_GATE_C_FRESH_ASSESSMENT_RC1.xlsx,7885,dc2f758a134cbda1c163d15c9b260a03e9f4c06fb181fff3eb47d9bfca49bc1c
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_01_GATE_C_REVIEW_PROTECTED_RC1.pdf,5066,a69688e56898c2bb698de91225f683605f1233fa9ab79d02671010a3bca06586
04_ASSESSMENT/REVIEWS/C2_01_GATE_A_REVIEW_PROTECTED_RC1.pdf,5092,b3d15e0eac2d0d6b937e4eaaeab6828801ad071728f7f79a1412ba6315559545
04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,21689,0033c8ff39e0a14b73f5aeb7e11e2b68c61c5f2a55d84c8fce75a71b02dc334e
05_REPAIR/C2_01_TARGETED_REMEDIATION_CARDS_PROTECTED_RC1.pdf,9920,59557ea79c0c7425acbd1b2eb35bb1ac3401c0f77bc2ccfe172e7b8b7a51bc90
90_CONTROL/C2_01_CANONICAL_LESSON_ROUTE_REGISTRY_RC1.csv,1934,4301976ad440ab799e610e04d0ead4b84a8011c83af21621333b551d05b8def7
90_CONTROL/C2_01_MENTOR_ROUTE_CONTRACT_RC1.json,1320,8eecc4d96337a969626ee6e0ff42ca21282fa39f0ee1872ca2d3113fb36f4f1b
90_CONTROL/C2_01_SOURCE_VIDEO_REGISTRY_RC1.csv,4692,0c7dbe4cc2350069723a5abdbf7b2337ee022c7e50fc3882326bcd539d1a8d2a
99_ADMIN_QA/C2_01_MODULE_QA_REPORT_RC1.pdf,7545,3b534528aa8bc4261840737c6103bcd47dfad2936b58f82ca2b6bce764d7289f
99_ADMIN_QA/C2_01_STATIC_RENDER_WORKBOOK_QA_RC1.json,2308,8cc6a734c2e3c41eff0b7182ca957a3a31a83096d90ed6d0a68d5dcaaf3b8092
99_ADMIN_QA/PROTECTED/C2_01_GATE_OBJECTIVE_CONTROLS_PROTECTED_RC1.json,1070,469653eac5255d07f9999285872bc30cecca42d8a1ef42c365789ae52f0c4bff
README_FIRST_RC1.txt,1221,48cc20614b8a38c91aee89a9aa7d8d66932e96028c272bc817f1064bb046724c
