lesson_id,title,start_page,end_page,practice_id,teaching_file,practice_file,protected_review_file,protected_review_page
AX1,Advanced formulas without formula spaghetti,3,4,AX1_Formulas,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
AX2,"XLOOKUP, INDEX/MATCH and lookup design",5,6,AX2_Lookups,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
AX3,"Dynamic arrays: FILTER, UNIQUE, SORT and spill-safe workflows",7,8,AX3_Dynamic_Arrays,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
AX4,"SUMIFS, COUNTIFS and auditable conditional KPIs",9,10,AX4_Conditional_KPIs,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
AX5,Advanced PivotTables and business summaries,11,12,AX5_Pivots,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
AX6,Power Query architecture and repeatable imports,13,14,AX6_PQ_Architecture,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
AX7,Cleaning and transforming multiple files,15,16,AX7_PQ_Folder,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
AX8,Merge vs append and relationship/grain mistakes,17,18,AX8_Merge_Append,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
AX9,Parameters and reusable query design,19,20,AX9_Parameters,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
AX10,Refreshable monthly reporting workflow,21,22,AX10_Month_End,01_TEACH/C2_01_ADVANCED_EXCEL_POWER_QUERY_TEACHING_BOOK_ASTRA_RC4.pdf,02_PRACTICE/C2_01_PRACTICE_WORKBOOK_RC1.xlsx,04_ASSESSMENT/REVIEWS/C2_01_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
