lesson_id,role,source_name,url,useful_segment,verification_status,fallback_or_note
AX1,RECOMMENDED VIDEO,Chandoo - Best Excel Formulas in an hour - Beginner to PRO Masterclass,https://www.youtube.com/watch?v=dVJFyqI_Nw4,01:01:41-01:09:09,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Formula-built report context; internal book controls architecture.
AX2,REQUIRED VISUAL SUPPORT,Chandoo - 10 Advanced XLOOKUP Tips & Tricks,https://www.youtube.com/watch?v=YyhJe5tMq58,01:15-04:18,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Basic XLOOKUP + multi-column/wildcard orientation; Gate answers not sourced here.
AX2,CURRENT REFERENCE,Microsoft Support - XLOOKUP function,https://support.microsoft.com/en-us/excel/functions/xlookup-function,Syntax/version support,WEB_REACHABLE_2026-09-10,Current page notes XLOOKUP is not available in Excel 2016/2019.
AX3,RECOMMENDED VIDEO,Chandoo - Best Excel Formulas in an hour - Beginner to PRO Masterclass,https://www.youtube.com/watch?v=dVJFyqI_Nw4,08:28-12:21; 33:44-37:03,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,FILTER + UNIQUE/# visual reinforcement.
AX3,CURRENT REFERENCE,Microsoft Support - UNIQUE function,https://support.microsoft.com/en-us/excel/functions/unique-function,Dynamic array / spill behavior,WEB_REACHABLE_2026-09-10,Includes spill behavior and cross-workbook limitation.
AX3,CURRENT REFERENCE,Microsoft Support - SORT function,https://support.microsoft.com/en-US/Excel/sort-function,Dynamic array / spill behavior,WEB_REACHABLE_2026-09-10,Current SORT syntax and spill notes.
AX4,RECOMMENDED VIDEO,Chandoo - Best Excel Formulas in an hour - Beginner to PRO Masterclass,https://www.youtube.com/watch?v=dVJFyqI_Nw4,01:51-08:28,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,COUNTIFS/SUMIFS/AVERAGEIFS business summaries.
AX5,REQUIRED VISUAL SUPPORT,Chandoo - Excel Pivot Tables - Master Data Analysis in just 45 minutes,https://www.youtube.com/watch?v=zuSNd1ZMfBI,00:51-24:40,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,"Core Pivot build, aggregation, filters/slicers, date trends."
AX6,REQUIRED VIDEO,Chandoo - Power Query - Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU,04:54-13:36; 17:50-33:35,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,"Editor, cleaning, types/transforms, load/refresh."
AX6,CURRENT REFERENCE,Microsoft Learn - Use Power Query to transform data,https://learn.microsoft.com/en-us/power-query/power-query-ui,Editor/Applied Steps/merge/data profiling,WEB_REACHABLE_2026-09-10,Current UI concept reference.
AX6,CURRENT REFERENCE,Microsoft Learn - Best Practices When Working with Power Query,https://learn.microsoft.com/en-us/power-query/best-practices,"Types, documentation, modular queries",WEB_REACHABLE_UPDATED_2026-08-20,Current best-practice reference.
AX7,RECOMMENDED VIDEO,Chandoo - Power Query - Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU,04:54-13:36,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Editor flow only; folder controls are course-led.
AX7,CURRENT REFERENCE,Microsoft Learn - Combine CSV files,https://learn.microsoft.com/en-us/power-query/combine-files-csv,Folder combine / Source.Name verification,WEB_REACHABLE_UPDATED_2026-04-08,Official combine-files workflow.
AX8,RECOMMENDED VIDEO,Chandoo - Power Query - Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU,04:54-13:36,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Editor reinforcement only.
AX8,CURRENT REFERENCE,Microsoft Learn - Append queries,https://learn.microsoft.com/en-us/power-query/append-queries,Append semantics,WEB_SEARCH_REACHABLE_2026-09-10,Append stacks rows and unions headers; unmatched headers become null.
AX8,CURRENT REFERENCE,Microsoft Learn - Use Power Query to transform data,https://learn.microsoft.com/en-us/power-query/power-query-ui,Merge semantics,WEB_REACHABLE_2026-09-10,Current page explicitly demonstrates merge queries.
AX9,CURRENT REFERENCE,Microsoft Learn - Best Practices When Working with Power Query,https://learn.microsoft.com/en-us/power-query/best-practices,Use parameters / reusable functions,WEB_REACHABLE_UPDATED_2026-08-20,Parameter guidance retained.
AX10,RECOMMENDED VIDEO,Chandoo - Power Query - Beginner to PRO Masterclass in 30 minutes,https://www.youtube.com/watch?v=MMdcczmULrU,33:35-35:17,TITLE_AND_TIMESTAMPS_RESOLVED_WEB_2026-09-10,Load and refresh visual context.
AX10,CURRENT REFERENCE,Microsoft Learn - Best Practices When Working with Power Query,https://learn.microsoft.com/en-us/power-query/best-practices,"Future-proof, types, parameters, documentation",WEB_REACHABLE_UPDATED_2026-08-20,Release controls themselves remain course-authored.
