RelativePath,Bytes,SHA256
00_START/C2_03_START_HERE_ASTRA_RC4.pdf,3238,9c14ce4156caa1fefe377151094852597c0617855ae2ccd171d4854240d92404
01_TEACH/C2_03_PROFESSIONAL_POWERBI_MODELING_TEACHING_BOOK_ASTRA_RC4.pdf,92146,6d2d925dd2ae1ec49b1d75c769c2c9e9e5cb03a17718cd5bf06b7064bba5b22b
01_TEACH/C2_03_QUICK_REVISION_ASTRA_RC4.pdf,3273,807d1a1c3317e392fa5e228baafbfdee04c55ba67f2fe35f201a881f4fe97ce2
02_PRACTICE/C2_03_PRACTICE_AND_EVIDENCE_WORKBOOK_RC1.xlsx,16209,d248c445cdec7a0d7fd9c83baf3a35f89f08f05f35b8019c6e4a6b9229dcb457
02_PRACTICE/C2_03_PRACTICE_DATA_RC1.zip,7347,3dc2d710ca7c26555721c997063b11d191e64ef45e1fbffaa4efd72ec101bbff
03_MINI_LAB/C2_03_MINI_LAB_PARCEL_MODEL_BRIEF_RC1.pdf,5143,ead2616e44a8777b9688c6dda36f7419507fb5be91e7a3e3e61fc27add7fb3b3
03_MINI_LAB/C2_03_MINI_LAB_PARCEL_MODEL_EVIDENCE_RC1.xlsx,7504,881c054d831cbbfdc7aa191c7714df3659fac5480258ed1c040190387ec8107e
04_ASSESSMENT/C2_03_MODULE_TEST_ASTRA_RC4.pdf,2922,29b45ddc9179e62f801858bc08dbf5b58771c44af424b0e4055002b0df29ba99
04_ASSESSMENT/C2_03_MODULE_TEST_PROTECTED_REVIEW_ASTRA_RC4.pdf,4860,a0ce1fe90a96e22ec86e0dd5c60ddef898c5454fe23619dc5b70170e0de945e8
04_ASSESSMENT/GATE_A/C2_03_GATE_A_DATA_RC1.zip,2928,d2618936106a79fa9fca8af1400f1232af8ab76794da0008d7cd0663ec7df2de
04_ASSESSMENT/GATE_A/C2_03_GATE_A_FRESH_ASSESSMENT_RC1.xlsx,8424,56ae457284baf83b010dc8ec4ba7ba3563c9472c4bf4a306d411b7344af3d812
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_03_GATE_B_DATA_RC1.zip,2986,d1e28675d9fbd5385ae925367dd9b5cde98283f583fe3a998b78f8cf34425768
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_03_GATE_B_FRESH_ASSESSMENT_RC1.xlsx,8443,c4669c68c224accbd9a02778c72cfd89082547844965039869171dc44953fbbb
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_B/C2_03_GATE_B_REVIEW_PROTECTED_ASTRA_RC4.pdf,6478,62bd32fb738a87072f89413bf3469f4f4317a78eb9af86607521da73678b9a68
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_03_GATE_C_DATA_RC1.zip,3808,74e4d75364e0aecb861ac5eefafab7a76012149e4ff09f3972c280b5bbc2e9fd
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_03_GATE_C_FRESH_ASSESSMENT_RC1.xlsx,8432,a6122cbb48fc426e0943a424ee631c61b86930f819866149799ef64de799bb6e
04_ASSESSMENT/RETEST_ONLY_DO_NOT_OPEN/GATE_C/C2_03_GATE_C_REVIEW_PROTECTED_ASTRA_RC4.pdf,6522,e34233b8e367e0a0a1682e5132ce05ebbc122d0f5a636ccad2a9d223839489d4
04_ASSESSMENT/REVIEWS/C2_03_GATE_A_REVIEW_PROTECTED_ASTRA_RC4.pdf,6598,14cc7c2ec9cfe92d4848b88f107b4ccf57e8df577799415f6ce48ce13933168a
04_ASSESSMENT/REVIEWS/C2_03_PRACTICE_REVIEW_PROTECTED_RC1.pdf,19477,10e2dfc7cc99aa4faac1f8f0d9a3e712a45bd099cdc5e0395155a75e888c6b74
05_REPAIR/C2_03_TARGETED_REMEDIATION_CARDS_PROTECTED_RC1.pdf,9131,c265ba01ec41b69520c4a454cc3b92d11991d4ec7cf6d9e85dab0da7adff5bf1
90_CONTROL/C2_03_ASTRA_PARITY_ROUTE_OVERRIDE_RC4.json,1156,064eeb28f29cfa68dd05bf2cb668b9c626c3999b2b905341b98eaa6f1f191947
90_CONTROL/C2_03_CANONICAL_LESSON_ROUTE_REGISTRY_ASTRA_RC4.csv,1948,4c72ceeea544182a5a68987cf2d1a14bcadca8008646a8cf49e4958b24d526fb
90_CONTROL/C2_03_CANONICAL_LESSON_ROUTE_REGISTRY_ASTRA_RC4.json,4308,439427aa6bcd5e88bfba64f8ba345cd188f00fda906768d8702175ff59503402
90_CONTROL/C2_03_MENTOR_ROUTE_CONTRACT_ASTRA_RC4.json,642,fcb318fbc60ddca7b422ac02bce14a0a0055bc8710fa0e2923ba9f46f462c9c6
90_CONTROL/C2_03_PL300_ALIGNMENT_RC1.csv,1243,e6d6110afa7be23af1a9f560357e952b7dc8ad7992dbcbb3d5ea343027f79f25
90_CONTROL/C2_03_SOURCE_REVERIFY_ASTRA_RC4.json,1394,c7be75165e6aa21ec792677280e60af0160cf32689034dd39efa92dcb628c463
90_CONTROL/C2_03_SOURCE_VIDEO_REGISTRY_RC1.csv,4407,693f23c1370a0cf8ba16524f424815bde2496f9326a816bb84ca6653be1e021f
99_ADMIN_QA/C2_03_ASTRA_PARITY_RC4_BUILD_QA.json,5172,cc014900b80f4df6c73e1129479152fe810aaeb6939ace74c45ffb666ab50dbb
99_ADMIN_QA/C2_03_CHECKPOINT32_FINAL_QA.json,4320,b5249ea4b7ad4671708455ad63c194d48c03c4ae3864979e67fc3334fe23729b
99_ADMIN_QA/PROTECTED/C2_03_GATE_DEEP_CONTROLS_ASTRA_RC4.json,2735,8ae47a14c0d6838f9c149b5c383afdf0573315203481bbbc4f84c8c6d8e3ec6f
99_ADMIN_QA/PROTECTED/C2_03_GATE_OBJECTIVE_CONTROLS_PROTECTED_RC1.json,599,efe2c707cb4ce653283a5d9173217ff5e38dd638485a59267ff1fad1971cc418
README_ASTRA_RC4.txt,658,aa8bcd5f3ef2898edf583dad31d81fbf2e2aabaff89406d609f581fe88c44513
